page	claim	claim_label	tags	claim_source_domain	claim_source_url	date
http://www.emergent.info/Samsung-Apple-watch-processor	Claim: Samsung will supply application processors for Apple Watch	unverified	['Apple Watch', 'Apple Watch Components', 'BusinessKorea', 'Cho Jin-young', 'Samsung']			2015/11/26
http://www.emergent.info/man-slapping-people-for-sneezing	Claim: A man in England is wanted by police for slapping people who sneeze in public	true	['Cumbria', 'sneezing', 'United Kingdom']			2015/03/22
http://www.emergent.info/human-death-GMO	Claim: Doctors confirmed the first case of death by genetically modified food	false	['Fake News', 'Hoaxes', 'World News Daily Report']			2015/03/09
http://www.emergent.info/apple-watch-store-appointments	Claim: Apple will take appointments at Apple Stores to try on the Apple Watch	unverified	['Apple Watch', 'Daisuke Wakabayashi', 'Wall Street Journal']			2015/03/08
http://www.emergent.info/apple-watch-platinum-edition	Claim: Apple is considering the release of a platinum edition of the Apple Watch	unverified	['Apple Watch', 'Daisuke Wakabayashi', 'Wall Street Journal']			2015/03/08
http://www.emergent.info/Apple-Watch-gold-formula	Claim: The Apple Watch Edition has less gold than typical 18k gold	unverified	['Apple Watch', 'Apple Watch Edition', 'Dr Drang', 'Gold', 'Leancrew.com']			2015/03/07
http://www.emergent.info/gold-Apple-Watch-straps	Claim: Apple will offer gold Watch straps	false	['Apple Watch', 'Apple Watch Accessories', 'Daring Fireball', 'Jon Gruber']			2015/03/07
http://www.emergent.info/larger-Apple-Watch-more-expensive	Claim: Apple will charge more for the larger Apple Watch	true	['Apple Watch', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']			2015/03/07
http://www.emergent.info/Gruber-Apple-Watch-Edition-Sport-band	Claim: The gold Apple Watch Edition with a sport band will cost $7499/7999 USD.	false	['Apple Watch', 'Apple Watch Edition', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']			2015/03/07
http://www.emergent.info/steel-Apple-Watch-sport-band	Claim: The steel Apple Watch with a sport band will cost $749/799 USD.	false	['Apple Watch', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']			2015/03/07
http://www.emergent.info/Gruber-Apple-Watch-Edition-top-price	Claim: The most expensive version of the Apple Watch Edition will cost $19,999	false	['Apple Watch', 'Apple Watch Edition', 'Apple Watch Price', 'Daring Fireball', 'Jon Gruber']			2015/03/07
http://www.emergent.info/Apple-Watch-notifications-wrist	Claim: The Apple Watch only receives notifications when on the wrist	unverified	['Apple Watch', 'Apple Watch Features', 'Matthew Panzarino', 'TechCrunch']			2015/03/06
http://www.emergent.info/KFC-selling-pot	Claim: KFC restaurants in Colorado will start selling marijuana	false	['Fake News', 'Hoaxes', 'kfc', 'Marijuana']			2015/03/05
http://www.emergent.info/ISIS-made-woman-eat-son	Claim: ISIS gave a Kurdish woman a meal and told her she'd eaten her own son	unverified	['Cannibalism', 'ISIS', 'The Sun']			2015/03/02
http://www.emergent.info/Tiger-Woods-drugs	Claim: Tiger Woods is serving a suspension from the PGA Tour after failing a drug test	false	['Drugs', 'Golf', 'PGA Tour', 'Tiger Woods']			2015/03/02
http://www.emergent.info/international-school-lunches	Claim: Photos comparing school lunches from around the world include a meagre offering from the U.S.	false	['Michelle Obama', 'Photos', 'School Lunches', 'United States of America']			2015/03/02
http://www.emergent.info/400-men-castrated	Claim: 400 men were castrated on the orders of an Indian spiritual guru	unverified	['Castration', 'Dera Sacha Sauda', 'Gurmeet Ram Rahim Singh', 'India']			2015/03/02
http://www.emergent.info/stolen-testicles	Claim: A Russian man met a woman for a drink in a sauna and woke up to find his testicles stolen	unverified	['Black Market', 'Life News', 'Medicine', 'Russia', 'Testicles']			2015/02/26
http://www.emergent.info/Jihadi-John-is-Mohammed-Emwazi	Claim: 'Jihadi John' is a Londoner named Mohammed Emwazi	unverified	['ISIS', 'Jihadi John', 'Mohammed Emwazi', 'Washington Post']			2015/02/26
http://www.emergent.info/disney-collector-is-former-porn-star	Claim: The woman behind the hugely popular DC Toys Collector (Disney Collector) YouTube channel is a former porn star 	unverified	['Daiane DeJesus', 'DC Toys Collector', 'Porm', 'Sandy Summers', 'YouTube']			2015/02/25
http://www.emergent.info/Italian-fisherman-massive-catfish	Claim: Italian fishermen caught a 280-pound catfish	true	['Fishing', 'Italy', 'Sports']			2015/02/25
http://www.emergent.info/Iraq-shoots-down-British-planes	Claim: The Iraqi army shot down two British planes that were delivering weapons to ISIS	false	['FARS News Agency', 'Iran', 'Iraq', 'ISIS']			2015/02/25
http://www.emergent.info/Israel-opened-dams-flooding-Gaza	Claim: Israel caused flooding in Gaza by opening river dams	false	"['Flooding', 'Gaza', 'Israel', ""Ma'an News Agency""]"			2015/02/24
http://www.emergent.info/Willie-Nelson-death-hoax	Claim: Willie Nelson is dead	false	['Celebrity Deaths', 'Hoaxes', 'MediaMass', 'Willie Nelson']			2015/02/24
http://www.emergent.info/priest-says-god-is-female	Claim: A Catholic priest who was declared clinically dead says he met God and she's a woman	false	['Catholic Church', 'Fake News', 'Hoaxes', 'World News Daily Report']			2015/02/22
http://www.emergent.info/macklemore-joining-ISIS	Claim: Rap artist Macklemore joined ISIS	false	['Hoaxes', 'ISIS', 'Macklemore', 'Twitter']			2015/02/21
http://www.emergent.info/Shane-Smith-steak	Claim: Vice Media CEO Shane Smith paid $300,000 for a Las Vegas dinner	unverified	['Las Vegas', 'Shane Smith', 'VICE Media']			2015/02/20
http://www.emergent.info/bride-marries-wedding-guest	Claim: An Indian bride married a guest at her wedding after her fiance had a seizure and collapsed	unverified	['Epilepsy', 'India', 'Marriage']			2015/02/18
http://www.emergent.info/ISIS-harvesting-organs	Claim: ISIS is harvesting and selling human organs to help fund its operations	unverified	['Iraq', 'ISIS', 'Medicine', 'Organ Harvesting']			2015/02/18
http://www.emergent.info/20-year-old-McDonalds-burger	Claim: Two Australian men kept a McDonald's Quarter Pounder with Cheese for 20 years	unverified	"['Australia', 'Food', 'Hamburger', ""McDonald's"", 'Quarter Pounder']"			2015/02/17
http://www.emergent.info/tbs-speeds-up-Seinfeld	Claim: TBS speeds up Seinfeld episodes to fit in more commercials	unverified	['Seinfeld', 'TBS', 'TV']			2015/02/17
http://www.emergent.info/marines-weapons-yemen	Claim: The final Marines to leave the U.S. embassy in Yemen handed their weapons over to Houthi rebels	false	['Fox News', 'Marines', 'Megan Kelly', 'Yemen']			2015/02/14
http://www.emergent.info/Star-Wars-early-summer-release	Claim: J.J. Abrams wants a summer release date for 'Star Wars: Episode VII'	false	['iKwiz', 'J.J. Abrams', 'Star Wars', 'Video', 'YouTube']			2015/02/12
http://www.emergent.info/feminist-blogger-abortion	Claim: A woman aborted a fetus after discovering it was male	unverified	['Abortion', 'Blogging', 'Feminism', 'Hoaxes']			2015/02/11
