page	claim	claim_label	tags	source_list	claim_source_domain	claim_source_url	date
https://www.snopes.com/fact-check/a-fair-shake/	mcdonald's beverages contain yucky non-food substances.	False	"['contaminated food', "" mcdonald's"", "" mcdonald's hoaxes"", "" mcdonald's menu"", ' odd ingredients']"	['/horrors/food/wormburg.asp', '/horrors/food/coweyes.asp', 'https://www.cnbc.com/2017/05/18/mcdonalds-changed-its-vanilla-ice-cream-6-months-ago-and-nobody-noticed.html', 'https://www.mcdonalds.com/us/en-us/product/vanilla-shake-small.html', 'https://www.mcdonalds.com/us/en-us/product/baked-hot-apple-pie.html']	https://www.cnbc.com/	https://www.cnbc.com/2017/05/18/mcdonalds-changed-its-vanilla-ice-cream-6-months-ago-and-nobody-noticed.html	2001/01/31
https://www.snopes.com/fact-check/martin-luther-king-stamp/	"the united states postal service's new ""i have a dream"" stamp honoring dr. martin luther king jr. will be discontinued and recalled if not enough postal customers purchase them."	False	['asp article', ' martin luther king', ' martin luther king day', ' martin luther king jr.', ' moral outrage', ' postage stamps', ' usps', ' usps rumors']	['/inboxer/outrage/heritage.asp', 'https://web.archive.org/web/20001216231700/http://www.usps.gov/images/stamps/ctc.htm', 'https://web.archive.org/web/20010417221747/http://www.usps.gov/images/stamps/99/martin_luther_king.htm', 'https://web.archive.org/web/20010417224632/http://www.usps.gov/images/stamps/99/1960s.htm', 'http://web.archive.org/web/20011208104519/www.usps.com/ctc/train/welcome.htm']	https://web.archive.org/	https://web.archive.org/web/20001216231700/http://www.usps.govs/stamps/ctc.htm	2000/06/07
https://www.snopes.com/fact-check/atheist-holiday/	a judge told an atheist plaintiff who challenged religious holidays that atheists already have their own holiday: april 1.	False	['atheism']	['http://www.cnn.com/2000/LAW/07/13/scopes.monkey.trial/', 'http://www.infidels.org/library/modern/cale_corbett/abington.html', 'http://www.law.umkc.edu/faculty/projects/ftrials/conlaw/estabinto.htm', 'http://religiousfreedom.lib.virginia.edu/court/alle_v_aclu.html', 'http://supct.law.cornell.edu/supct/html/99-62.ZS.html']	http://www.cnn.com/	http://www.cnn.com/2000/LAW/07/13/scopes.monkey.trial/	2004/04/05
https://www.snopes.com/fact-check/a-difficult-cabin-announcement/	photograph shows a mandarin airlines flight taxiing past the charred remains of a crashed airliner. see example( s )	True	['airplanes', ' asp article', ' mandarin airlines']	['http://www.drdisk.com.hk/sam.htm']	http://www.drdisk.com.hk/	http://www.drdisk.com.hk/sam.htm	2005/01/12
https://www.snopes.com/fact-check/arbys-liquid-meat/	arby's roast beef is made from a paste, gel, powder, or liquid.	False	"[""arby's"", ' odd ingredients', ' roast beef']"	['/horrors/food/wormburg.asp', 'http://www.arbys.com/about/']	http://www.arbys.com/	http://www.arbys.com/about/	2005/07/27
https://www.snopes.com/fact-check/school-buses/	photograph shows school buses caught in a flooded new orleans parking lot because no one ordered them to be deployed to evacuate residents ahead of hurricane katrina. see example( s )	Mixture	['hurricane katrina', ' new orleans']	['http://news.yahoo.com/news?tmpl=story&u=/050901/480/flpc21109012015']	http://news.yahoo.com/	http://news.yahoo.com/news?tmpl=story&u=/050901/480/flpc21109012015	2005/09/17
https://www.snopes.com/fact-check/desert-meteor/	a video clip shows a meteorite striking a pickup truck in the desert. see example( s )	False	['advertisements', ' toyota']	['bungee.asp', 'http://www.toyota.com/tacoma/', 'https://web.archive.org/web/20051029065530/http://www.methodstudios.com/mox808']	http://www.toyota.com/	http://www.toyota.com/tacoma/	2005/12/11
https://www.snopes.com/fact-check/c-130/	photograph shows a c-130 transport dropping anti-missile flares.	True	['']	['http://ronsworld1.homestead.com/files/jett.mpg']	http://ronsworld1.homestead.com/	http://ronsworld1.homestead.com/files/jett.mpg	2006/09/13
https://www.snopes.com/fact-check/the-eye-of-god/	a photograph taken by the hubble space telescope shows a nebula dubbed the 'eye of god.' see example( s )	Mixture	['hubble space telescope', ' space']	['http://antwrp.gsfc.nasa.gov/apod/ap000828.html', 'http://archive.stsci.edu/hst/helix/observations.html', 'http://antwrp.gsfc.nasa.gov/apod/ap010806.html', 'http://www.noao.edu/kpno/', 'http://antwrp.gsfc.nasa.gov/apod/ap030510.html']	http://antwrp.gsfc.nasa.gov/	http://antwrp.gsfc.nasa.gov/apod/ap000828.html	2006/09/13
https://www.snopes.com/fact-check/shadow-caravan/	a photograph shows an overhead view of shadows cast by camels in the desert.	True	['animals']	['http://georgesteinmetz.com/about/bio/%22', 'http://ngm.nationalgeographic.com/2012/11/sand-dunes/steinmetz-text', 'https://web.archive.org/web/20080109091821/http://www.nationalgeographic.com.tr/ngm/0609/default.aspx', 'https://web.archive.org/web/20050407035746/http://www.nationalgeographic.com.tr/ngm/konu.asp?Konu=3&Yil=05&Ay=02', 'https://web.archive.org/web/20060201235714/http://georgesteinmetz.com/', 'https://web.archive.org/web/20061021221923/http://georgesteinmetz.com/html/salt.html']	http://georgesteinmetz.com/	http://georgesteinmetz.com/about/bio/%22	2006/09/11
https://www.snopes.com/fact-check/home-invasion-thwarted/	two armed illegal aliens perpetrating a home invasion were killed by an 11-year-old girl with a shotgun.	False	['home invasion', ' undocumented immigrants']	['http://www.americanpatrol.com/CRIME/RESENDEZ/resendez-history.html', 'http://web.archive.org/web/20070504040741/http://www.khou.com/news/local/stories/khou061228_ac_crosbyshooting.547846d3.html', 'http://www.kmov.com/story/29955714/child-11-kills-home-invasion-suspect-in-north-st-louis-county']	http://www.americanpatrol.com/	http://www.americanpatrol.com/CRIME/RESENDEZ/resendez-history.html	2007/05/02
https://www.snopes.com/fact-check/c3p0-trading-card/	a star wars trading card was altered to depict the droid c-3p0 with an oversized penis.	Legend	['films', ' movies', ' phallacies', ' star wars']	['https://www.snopes.com/fact-check/ripken-baseball-card/', 'https://us-east-1.tchyn.io/snopes-production/uploads/2007/08/Screen-Shot-2016-04-13-at-3.49.54-PM.png', '/disney/films/mermaid.asp', '/business/hidden/renuzit.asp', 'http://www.starwars.com/', 'https://web.archive.org/web/20051013055316/http://starwarscards.net/1977topps4.htm']	https://us-east-1.tchyn.io/	https://us-east-1.tchyn.io/snopes-production/uploads/2007/08/Screen-Shot-2016-04-13-at-3.49.54-PM.png	2007/08/19
https://www.snopes.com/fact-check/a-presidential-hug/	a viral photograph shows president george w. bush hugging the daughter of a 9/11 victim.	True	['9/11', ' george w bush']	['http://www.wendyfoundation.org/pages/659613/', 'http://web.archive.org/web/20040611123319/http://www.washingtondispatch.com/opinion/article_9003.shtml', 'http://web.archive.org/web/20040611123319/http://www.washingtondispatch.com/opinion/article_9003.shtml', 'http://web.archive.org/web/20040630224931/http://washingtondispatch.com/page2/archives/000193.html']	http://www.wendyfoundation.org/	http://www.wendyfoundation.org/pages/659613/	2007/08/14
